2026-03-10 22:31:39.592 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-10 22:31:39.595 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-10 22:31:39.992 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 377 ms. Found 1 JPA repository interface.
2026-03-10 22:31:40.033 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-10 22:31:40.036 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-10 22:31:40.069 INFO  [main] RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface FoodDelivery.auth.Restaurant.RestauarantRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-10 22:31:40.069 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2026-03-10 22:31:42.273 INFO  [main] TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-03-10 22:31:42.303 INFO  [main] Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-03-10 22:31:42.309 INFO  [main] StandardService - Starting service [Tomcat]
2026-03-10 22:31:42.310 INFO  [main] StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-03-10 22:31:42.472 INFO  [main] [/] - Initializing Spring embedded WebApplicationContext
2026-03-10 22:31:42.476 INFO  [main] ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6410 ms
2026-03-10 22:31:43.464 INFO  [main] LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-10 22:31:43.689 INFO  [main] Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-10 22:31:43.801 INFO  [main] RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-10 22:31:44.721 INFO  [main] SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-10 22:31:44.874 INFO  [main] HikariDataSource - HikariPool-1 - Starting...
2026-03-10 22:31:45.879 INFO  [main] HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@641cea11
2026-03-10 22:31:45.887 INFO  [main] HikariDataSource - HikariPool-1 - Start completed.
2026-03-10 22:31:46.040 WARN  [main] deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-10 22:31:46.051 WARN  [main] deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2026-03-10 22:31:48.451 INFO  [main] JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-10 22:31:48.544 INFO  [main] LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-10 22:31:50.146 WARN  [main] JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-10 22:31:53.089 INFO  [main] EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2026-03-10 22:31:53.366 INFO  [main] Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-03-10 22:31:53.446 INFO  [main] TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-03-10 22:31:53.505 INFO  [main] AuthServiceApplication - Started AuthServiceApplication in 19.843 seconds (process running for 22.969)
2026-03-10 22:31:56.443 INFO  [http-nio-8081-exec-1] [/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-10 22:31:56.444 INFO  [http-nio-8081-exec-1] DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-10 22:31:56.448 INFO  [http-nio-8081-exec-1] DispatcherServlet - Completed initialization in 3 ms
2026-03-10 22:31:56.811 WARN  [http-nio-8081-exec-1] DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('n' (code 110)): was expecting double-quote to start field name]
2026-03-10 22:40:13.309 WARN  [http-nio-8081-exec-3] DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('n' (code 110)): was expecting double-quote to start field name]
2026-03-10 22:41:52.489 WARN  [http-nio-8081-exec-4] DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('\' (code 92)): was expecting double-quote to start field name]
2026-03-10 22:43:06.687 WARN  [http-nio-8081-exec-5] DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('\' (code 92)): was expecting double-quote to start field name]
2026-03-10 22:43:29.918 INFO  [http-nio-8081-exec-6] AdminService - Admin creating restaurant: Food Palace
2026-03-10 22:43:30.238 INFO  [http-nio-8081-exec-6] AdminService - Restaurant created successfully with id: 1
2026-03-10 22:44:32.607 INFO  [http-nio-8081-exec-8] AdminService - Fetching all restaurants
2026-03-10 22:44:33.031 INFO  [http-nio-8081-exec-8] AdminService - Total restaurants found: 1
2026-03-10 22:45:50.292 INFO  [background-preinit] Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-10 22:45:50.593 INFO  [main] AuthServiceApplication - Starting AuthServiceApplication using Java 21.0.10 with PID 24076 (D:\FoodDeliveryApp\target\classes started by admin in D:\FoodDeliveryApp)
2026-03-10 22:45:50.623 INFO  [main] AuthServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-10 22:45:57.873 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-10 22:45:57.905 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-10 22:45:59.258 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1210 ms. Found 1 JPA repository interface.
2026-03-10 22:45:59.371 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-10 22:45:59.375 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
